Region,Passenger Traffic of Highways(10000 persons),Freight Traffic of Highways(10000 tons),Average Wage of Employed Persons in Urban Units(yuan),Total Value of Technical Market(100 million yuan),"Total Value of Imports of Foreign-funded Enterprises(1,000 US dollars)","Total Value of Exports of Foreign-funded Enterprises(1,000 US dollars)",Rate of Loss Due to Bad Quality of Manufactured Products(%)
Beijing,48040,19972,119928,3940.98,52046431,12333308,2.1
Tianjin,13741,32841,86305,552.64,29927346,26558355,1.3
Hebei,39925,189822,55334,59,5124007,6054482,2.5
Shanxi,18702,102200,53705,42.56,3734421,6509349,1.7
Inner Mongolia,10347,130613,61067,12.05,513798,491035,1.9
Liaoning,59054,177371,56015,323.22,20833530,17920559,3.1
Jilin,27186,40777,56098,116.42,7995370,1342400,1.7
Heilongjiang,28550,42897,52435,125.81,557050,531903,1.5
Shanghai,3402,39055,119935,780.99,162662174,123598738,1
Jiangsu,113494,117166,71574,635.64,139420876,186537523,2.1
Zhejiang,83033,133999,73326,198.37,24899206,50386708,1.1
Anhui,70523,244526,59102,217.37,5461324,7708916,1.5
Fujian,39137,85770,61973,43.22,22655965,36326143,3.1
Jiangxi,53366,122872,56136,79.01,5564653,6074743,1.8
Shandong,48823,249752,62539,395.95,31980599,50483873,1.9
Henan,106415,184255,49505,58.71,20069742,29441280,1.6
Hubei,88221,122656,59831,903.84,4629038,6015938,1.9
Hunan,108627,178968,58241,105.63,3007025,3270021,1.1
Guangdong,102094,272826,72326,758.17,181564907,288719608,2.4
Guangxi,39750,128247,57878,33.99,5446013,4293504,2.4
Hainan,9920,10879,61663,3.44,6112829,1112606,1.7
Chongqing,55594,89390,65545,147.19,10089717,23242982,2.7
Sichuan,109716,146046,63926,299.3,15329277,15898449,1.8
Guizhou,82199,82237,66279,20.44,121942,182113,1.8
Yunnan,41208,109487,60450,58.26,137847,349594,1.4
Xizang,889,1906,103232,220,2,90,0.1
Shaanxi,61093,113363,59637,802.79,10593442,11001059,2
Gansu,37932,54761,57575,150.66,11611,14045,1.8
Qinghai,4873,14047,66589,56.92,1477,2670,1.5
Ningxia,7910,37421,65570,4.05,149701,297649,2.6
Xinjiang,28993,65139,63739,4.28,128303,67262,3.8
